연도,직종,회차,성별,연령대,응시지역,졸업여부,합격여부
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,NULL,합격
2000,안경사,12,남,20,서울특별시,NULL,합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,여,40,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,40,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,여,30,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,40,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,여,30,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,40,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,여,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,여,30,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,40,서울특별시,졸업,결시
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,40,서울특별시,졸업,결시
2000,안경사,12,여,40,서울특별시,졸업,합격
2000,안경사,12,남,50,서울특별시,졸업,결시
2000,안경사,12,여,40,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,30,서울특별시,졸업,결시
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,여,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,30,서울특별시,졸업,결시
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,40,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,NULL,합격
2000,안경사,12,남,20,서울특별시,NULL,합격
2000,안경사,12,남,20,서울특별시,NULL,합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,여,30,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,NULL,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,40,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,40,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,30,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,30,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,30,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,30,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,30,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,30,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,30,서울특별시,졸업예정,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,30,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,40,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,30,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,40,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,30,서울특별시,졸업예정,결시
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,결시
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,결시
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,50,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,불합격
2000,안경사,12,남,30,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,40,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,결시
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,30,서울특별시,졸업예정,불합격
2000,안경사,12,여,30,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,30,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,남,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,결시
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,30,서울특별시,졸업,합격
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,여,20,서울특별시,졸업예정,합격
2000,안경사,12,남,40,서울특별시,졸업예정,불합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,여,20,서울특별시,졸업,불합격
2000,안경사,12,남,20,서울특별시,졸업예정,불합격
2000,안경사,12,여,30,서울특별시,졸업예정,합격
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,여,20,서울특별시,졸업,결시
2000,안경사,12,남,20,서울특별시,졸업예정,합격
